,transformer_score,mlp_ae_score,pca_score,avg_corr,top_eig,cross_sectional_vol,financial_binder,transformer_resid,mlp_ae_resid,pca_resid,transformer_resid_plus_binder,mlp_ae_resid_plus_binder
2011-03-31,12.314549833536148,14.021822929382324,0.0861518606543541,0.05833042040467262,3.96201491355896,0.13733359811942344,0.05454717385771024,,,,,
2011-04-01,16.375747859477997,14.699987411499023,0.10426414757966995,0.05531086027622223,4.002106666564941,0.13575626272602492,0.06777129893671707,,,,,
2011-04-04,16.85325065255165,14.544631958007812,0.16455596685409546,0.05664294958114624,4.0431647300720215,0.13426892735763546,0.08981458651376006,,,,,
2011-04-05,19.203136384487152,15.254203796386719,0.184688001871109,0.05616122856736183,4.026067733764648,0.13318867642325669,0.08439889496417607,,,,,
2011-04-06,17.14358702301979,15.37161922454834,0.17427504062652588,0.05590017884969711,3.997075080871582,0.1330600643838074,0.07066995508602547,,,,,
2011-04-07,17.064082577824593,15.44165325164795,0.18147659301757812,0.05548836290836334,3.999314785003662,0.13326693849146456,0.07266817126869451,,,,,
2011-04-08,17.91655671596527,15.66588020324707,0.1835111528635025,0.05503786355257034,4.001964569091797,0.13324257987584312,0.07207124253040798,,,,,
2011-04-11,19.247332215309143,16.20965576171875,0.16027690470218658,0.053142618387937546,3.966252565383911,0.13397758823146155,0.052877493388038266,,,,,
2011-04-12,16.405953854322433,15.19533634185791,0.20291835069656372,0.05762976035475731,4.005390167236328,0.13432948454731028,0.07744020256990625,,,,,
2011-04-13,12.51398116350174,14.376359939575195,0.18498991429805756,0.06074284762144089,4.011406421661377,0.13558524897400845,0.0798484316233653,,,,,
2011-04-14,14.178244441747665,14.341292381286621,0.180159792304039,0.0619695708155632,3.997653007507324,0.13573917527059562,0.07770344321506473,,,,,
2011-04-15,12.585139364004135,14.356892585754395,0.20096662640571594,0.05917305126786232,3.982443332672119,0.13489070997429298,0.08745137824852622,,,,,
2011-04-18,15.779451191425323,15.024195671081543,0.21391639113426208,0.053899865597486496,3.9720582962036133,0.13393503091991987,0.08574481999224526,,,,,
2011-04-19,14.738540887832642,13.812145233154297,0.25990650057792664,0.0569721944630146,4.078812122344971,0.1350182276625422,0.12203545449965203,,,,,
2011-04-20,13.536273300647736,13.496719360351562,0.25254449248313904,0.058630477637052536,4.0697784423828125,0.134693428321932,0.12299346903309416,,,,,
2011-04-21,12.299154162406921,11.932735443115234,0.2851521968841553,0.06470552086830139,4.178879261016846,0.13627204843215496,0.14698494436541032,,,,,
2011-04-25,11.160502806305885,12.072737693786621,0.30278676748275757,0.06643389165401459,4.173348426818848,0.13524728815842108,0.13678751736185657,,,,,
2011-04-26,13.07166813313961,11.805839538574219,0.2861117720603943,0.06894607096910477,4.1755781173706055,0.13337358324043935,0.12924888631508968,,,,,
2011-04-27,12.148638844490051,10.034727096557617,0.22373881936073303,0.07824914157390594,4.07316255569458,0.12957672872165682,0.10257756477987001,,,,,
2011-04-28,11.850597739219666,10.41211223602295,0.25368037819862366,0.07863762974739075,4.046494007110596,0.12948007499350014,0.09711314729675402,,,,,
2011-04-29,9.739266693592072,10.245270729064941,0.21987174451351166,0.07988858222961426,3.9718093872070312,0.12808284519436292,0.08052891040849708,-2.70636012314057,-0.5194409303138912,0.028674009679685364,-1.602454780047708,-0.19711455283282575
2011-05-02,2.925881013274193,2.7624456882476807,0.16564178466796875,0.08008696883916855,3.966243267059326,0.12838525625755648,0.0838923184121747,-7.864279658579477,-7.718443215484431,-0.03254854399322804,-6.801533494684264,-7.4226424198267225
2011-05-03,2.9657400101423264,2.706592082977295,0.19928434491157532,0.08188079297542572,4.0266432762146,0.12808130197704118,0.12466471001254564,-5.4403124495247255,-4.888482370178558,-0.03256204353741321,-2.3438279777308253,-3.3560404118204588
2011-05-04,2.77253171056509,2.627143144607544,0.22357261180877686,0.08379364758729935,4.1017022132873535,0.1280426544889902,0.1431663500601913,-4.4345454619567874,-3.4177816173155193,-0.052943551561934976,-2.610402510722338,-2.263780099447178
2011-05-05,2.8891413137316704,2.4709279537200928,0.23055706918239594,0.08830369263887405,4.17003870010376,0.1287980211266603,0.1580150871235062,-1.0541052297060105,-1.3990889645239637,-0.07076497449372243,-0.9251816354592961,-1.315352077487038
2011-05-06,3.3782186061143875,3.2557809352874756,0.5823653936386108,0.0864936113357544,3.8232052326202393,0.14112403235571339,0.1444689972181803,10.481005877794843,-2.469992971751598,0.5955004996272528,27.012129840815618,8.287336301746365
2011-05-09,3.438442185521126,3.2550230026245117,0.57632976770401,0.08553797006607056,3.796977996826172,0.14161542396373644,0.12782671949497193,1.1356539015496168,-0.6358092657087759,0.06983951037344704,1.3847388762265602,-0.317614105713627
2011-05-10,3.350398287177086,3.1064186096191406,0.6080583930015564,0.08880889415740967,3.912986993789673,0.14331515467967296,0.14473280791275855,2.05881710425151,0.5358688823616902,0.0021422354044045022,1.0051412343457997,-0.8352555507906843
2011-05-11,3.0041070729494095,3.008650541305542,0.597870945930481,0.08763133734464645,3.977095365524292,0.14337712244763992,0.15934804261566138,0.3977772768041419,-0.34937172557549445,-0.004268265908846214,-0.1820037791424891,-1.0387043675971626
2011-05-12,2.8249295726418495,2.5029659271240234,0.6039173603057861,0.0946289524435997,4.233710765838623,0.14654985876891286,0.21320849843431,2.940947961486792,1.367249678737771,-0.12645533446631552,1.083883837459675,-0.7936966420216134
2011-05-13,2.788813531398773,2.5701866149902344,0.6134477257728577,0.09434887021780014,4.212576389312744,0.14640357764336373,0.20839170490394476,1.2498069983155276,0.6512846363123117,-0.04428257729657359,0.3706079302508778,-0.27535747992281623
2011-05-16,2.8332682996988297,2.5062952041625977,0.6023368239402771,0.09472990036010742,4.263571739196777,0.14722876732554727,0.2220935885861718,0.8014094892029178,0.2958390535530384,-0.05351403372360908,0.2919431641835031,-0.22967486546403526
2011-05-17,2.5131178349256516,2.4694738388061523,0.5757282376289368,0.09430164098739624,4.279952526092529,0.14815330462767415,0.21355060266776626,-0.009122786954563367,-0.08033883447762946,-0.0767327456379503,-1.0818903615063524,-1.1754864750916925
2011-05-18,2.780712440609932,2.496032238006592,0.5777724385261536,0.09451039135456085,4.26938533782959,0.14815223277702824,0.21192776820538373,0.3939382805130407,0.08417964093461805,-0.058540926818708705,-0.3848070769215255,-0.7083321293849512
2011-05-19,2.555487997829914,2.363532781600952,0.6920577883720398,0.10377328842878342,4.472785949707031,0.14506844966542085,0.23904700905318454,2.72420888228185,2.6638550950009545,0.10302345470802532,1.4167801442171726,1.3482803282710245
2011-05-20,2.218965694308281,2.225032329559326,0.675894558429718,0.10737326741218567,4.546691417694092,0.14357541637957583,0.26597305195789556,2.4891769141731714,2.6870094951734416,0.06923440522534996,2.2651995807130874,2.4624446003219678
2011-05-23,2.428741544485092,2.183868646621704,0.6445298194885254,0.10597285628318787,4.5173797607421875,0.1440370697847083,0.25822285796571476,1.6618082742365985,1.5404648904310392,0.01573756066745924,1.3697573270939358,1.2472332701971043
2011-05-24,2.105109501630068,2.0587949752807617,0.6660925149917603,0.10165154188871384,4.65241003036499,0.14384758751504773,0.2927661909883107,-1.7954183314943535,-1.4442683925567295,0.07798772954773314,-0.7274971486984949,-0.3734644647717338
2011-05-25,2.0475683510303497,2.0676257610321045,0.6678299903869629,0.10156918317079544,4.659553527832031,0.1434102710416013,0.28697036825174393,-1.485811269066886,-1.1376048557819587,0.06874476032282306,-0.9894889237251157,-0.645851696678883
2011-05-26,1.8404626622796059,1.9132145643234253,0.7058547735214233,0.10914412140846252,4.838366508483887,0.14073503781012303,0.32744389916817507,0.24920083778827262,0.618557529833943,0.09610731219865176,1.0709809176554828,1.4284512039659125
2011-05-27,2.2905660085380077,1.9219621419906616,0.7024831771850586,0.11011770367622375,4.822593688964844,0.14027104241537772,0.32220889410587183,1.1141632168555589,0.9178656788731985,0.06778249181871354,1.5097879981811904,1.3043098152089971
2011-05-31,2.1270663179457188,2.0327227115631104,0.7996464967727661,0.11568248271942139,4.873875141143799,0.1385687059800952,0.33352360210582355,2.443926870613552,2.5173214666986112,0.14173437131194433,2.6331850630738174,2.702600124709509
2011-06-01,1.383339636027813,1.203633427619934,0.1267240345478058,0.12058353424072266,4.965028762817383,0.13894780307209006,0.3470782018670856,2.3112681070085657,2.230076308410311,-0.6054278508111262,1.8922332275113902,1.82018350707909
2011-06-02,1.1147031653672457,1.1192072629928589,0.11088308691978455,0.1201244592666626,5.1619648933410645,0.1425554651105891,0.3728283636191285,-0.1765897955612985,0.010238972176736638,-0.5484717843553106,-1.2970585707092432,-1.0853059898732251
2011-06-03,1.2188609223812819,1.110461950302124,0.09763173758983612,0.1251678466796875,5.165388584136963,0.1431539258720458,0.37828627427392003,1.8547812654015488,1.7643908829123731,-0.4819125917589,0.7517186268094989,0.6786997068279419
2011-06-06,1.1144848614931107,1.0779982805252075,0.11193123459815979,0.12337833642959595,5.096138954162598,0.1438191725813296,0.3607448402606621,1.3686647266336038,1.3430309656200166,-0.40225337956128415,0.12204971647819463,0.11880584310160458
2011-06-07,1.0225309114903212,1.0042173862457275,0.11313636600971222,0.12708808481693268,4.892145156860352,0.14197358110881592,0.32284479390410026,4.263800655286211,4.0813808646326635,-0.4074388572180214,2.6512206429462353,2.497830975290407
2011-06-08,0.9465596564114094,1.0078668594360352,0.12493308633565903,0.12819893658161163,4.887985706329346,0.14170046428248048,0.3217115930450498,4.174059836738664,4.070156304369412,-0.3551436641517647,2.4418666172210806,2.37704094201718
2011-06-09,0.8868614323437214,0.9968023300170898,0.11858023703098297,0.12709707021713257,4.892792701721191,0.1421184704544803,0.3252615468604414,3.277392222874475,3.2493517588635044,-0.3274848324673738,1.8120780365892806,1.8175969449042508
2011-06-10,1.0376946665346622,1.0239468812942505,0.1344924122095108,0.11984492838382721,4.670324802398682,0.13930390788202654,0.29533863252375747,2.418483486477392,2.337961400396132,-0.26540593165899073,2.5741401182601145,2.4902386510608903
2011-06-13,1.0463433302938938,0.9523071646690369,0.15376219153404236,0.13130570948123932,4.881004333496094,0.1400079864817663,0.3166395974058622,4.412768376945394,4.143336446322259,-0.21686071328343326,2.4506630150081126,2.223685642574452
2011-06-14,1.1162982936948538,0.9702997207641602,0.1780564934015274,0.13039524853229523,4.748895645141602,0.13838214726993472,0.28285853208930234,4.764712871180436,4.440201265585969,-0.1733674900704587,2.2193525531354084,1.962452533746612
2011-06-15,1.0806609839200974,0.9318094849586487,0.17053481936454773,0.12917348742485046,4.836965084075928,0.13966519217094628,0.3047276285291245,3.2037477291427123,2.958842541540001,-0.16144992976503092,1.3215660161510687,1.1374968060056379
2011-06-16,1.1129330769181252,0.9113530516624451,0.17071622610092163,0.12916411459445953,5.116379261016846,0.14249393426337348,0.34283258668751493,0.9740838014943876,0.7985858406874868,-0.1304983202993366,-1.863050243585655,-1.9390116925244523
2011-06-17,1.1933771576732397,0.9876198172569275,0.2033882737159729,0.1269395649433136,5.0942702293396,0.14333674843134828,0.3349972727792173,0.5443401488472617,0.384489911436674,-0.1092280041705731,-2.2482402851688033,-2.299208106857312
2011-06-20,1.0847530588507652,0.9785463809967041,0.18905200064182281,0.12616263329982758,5.103468418121338,0.143814986090225,0.338442585752435,0.12196631463851304,0.08213284714784663,-0.12183770138854833,-2.16572396830505,-2.107338317083034
2011-06-21,1.0268014427274466,0.9918909072875977,0.19464579224586487,0.12921278178691864,5.110435962677002,0.14332695448034877,0.3380913075928157,0.9146244417826921,0.9085209941994137,-0.10134866173382218,-1.3920435844145729,-1.2971352480370104
2011-06-22,0.9795112982392311,1.0125420093536377,0.19386200606822968,0.12970070540905,5.173703193664551,0.14469139305547096,0.3461838847050861,0.5739849538000072,0.6328177392550174,-0.10803768154042714,-1.8713226961007443,-1.7075578027790286
2011-06-23,1.0860926918685436,1.0059245824813843,0.19109401106834412,0.12827226519584656,5.144764423370361,0.14477061794364696,0.34442136443558724,0.43940148023636283,0.3861432744860096,-0.11123815381893642,-1.4503746483350497,-1.4269209068401292
2011-06-24,1.0457799956202507,1.121217131614685,0.23970118165016174,0.1256827861070633,5.127409934997559,0.14621939422096356,0.34004241014026293,-0.14454815555831146,-0.04050253640822632,-0.0901847079115825,-2.010526211341233,-1.829243588528719
2011-06-27,1.1094559617340565,1.1133184432983398,0.2324621081352234,0.12643393874168396,5.164190292358398,0.14676829542140385,0.3475555703737495,-0.08693240338585895,-0.06643552927467766,-0.09261338911778783,-1.7392897383511219,-1.6541289913262531
2011-06-28,1.1610823534429073,1.0692729949951172,0.2059885710477829,0.12474124878644943,5.142587661743164,0.1470496909504101,0.3422216320323531,-0.35164338092654646,-0.4183293757308917,-0.12239882291539139,-1.8764505700669538,-1.8840195448492594
2011-06-29,1.3138888366520405,1.110486626625061,0.21462146937847137,0.12400690466165543,5.266079425811768,0.1485277123798167,0.3681406544480639,-1.307697647647089,-1.4240088392194679,-0.08669716493497592,-2.2299510053148133,-2.3089793444190896
2011-06-30,1.041775643825531,0.98892742395401,0.0856177806854248,0.12484050542116165,5.353902339935303,0.14961249259390252,0.38265195701203725,-1.7982154204029612,-1.7368775175166036,-0.19819832594969267,-2.621162423826817,-2.524784724362611
2011-07-01,0.9653119333088398,0.9591695070266724,0.10021467506885529,0.12406064569950104,5.342789649963379,0.1499917468090294,0.38031703505080083,-1.7709838861685299,-1.6730357442615116,-0.17133326458612785,-2.5146606954159125,-2.3849152928234894
2011-07-05,1.0074283853173256,0.8873189091682434,0.09755010902881622,0.12335501611232758,5.319394111633301,0.15057684966057042,0.3749767891480912,-1.492232856905602,-1.537295345402299,-0.1770146386304292,-2.287425772328934,-2.2986870790697083
2011-07-06,0.8919629342854023,0.8319450616836548,0.08974812179803848,0.12559036910533905,5.31031608581543,0.1512916038656922,0.36870402572942873,-0.6011181703429642,-0.6505132438055767,-0.198342523769945,-1.8360645029887976,-1.8312617069253392
2011-07-07,0.7443420998752117,0.8052949905395508,0.10022954642772675,0.1294691413640976,5.351966381072998,0.15014772956017616,0.37511564627520744,0.003525995400764259,0.06456402988531806,-0.1448591895794129,-1.194850551473742,-1.079327046356088
2011-07-08,0.9015570357441902,0.7816765308380127,0.09370255470275879,0.1303538680076599,5.367491722106934,0.15052141153211893,0.37986712882197304,0.364489235508934,0.22365158330282497,-0.14534103628388406,-0.6917047904391822,-0.7859028836577195
2011-07-11,0.7716240361332893,0.7788686752319336,0.09700969606637955,0.12873323261737823,5.332768440246582,0.15000072756512192,0.37976080089025155,-0.09040852097319174,-0.07298068521041046,-0.1315785756095802,-0.7018565403853785,-0.6559614501383955
2011-07-12,0.7994592320173979,0.8303569555282593,0.158030703663826,0.1265236735343933,5.496335983276367,0.15285459103316612,0.39305130682959755,-1.6079177480471571,-1.4903927677926845,-0.018033063236506663,-2.497923377127748,-2.339096327863878
2011-07-13,0.8666118755936623,0.8036928176879883,0.16321265697479248,0.12639521062374115,5.474311351776123,0.15268431734305674,0.38915674805594114,-1.2725963596332832,-1.2685884189640433,-0.018994358539175416,-2.0820873178347483,-2.041082902302122
