,price,ret_asset,score,zscore,pos,lev,turnover,fees,ret_strategy,equity_strategy,ret_buyhold,equity_buyhold,ret_voltarget,equity_voltarget
2011-04-29,104.53645324707031,0.0,-0.5194409303138912,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2011-05-02,104.37556457519531,-0.0015390676350454102,-7.718443215484431,,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0015390676350454102,0.9984609323649546,-0.0,1.0
2011-05-03,104.00011444091797,-0.003597107577864689,-4.888482370178558,,0.0,2.0,0.0,0.0,-0.0,1.0,-0.003597107577864689,0.9948693609789427,-0.007194215155729378,0.9928057848442706
2011-05-04,103.31047821044922,-0.0066311103038307895,-3.4177816173155193,,0.0,2.0,0.0,0.0,-0.0,1.0,-0.0066311103038307895,0.9882722725083897,-0.013262220607661579,0.9796389755051033
2011-05-05,102.3757095336914,-0.009048149741922917,-1.3990889645239637,,0.0,2.0,0.0,0.0,-0.0,1.0,-0.009048149741922917,0.9793302370009433,-0.018096299483845835,0.961911135218315
2011-05-06,102.82777404785156,0.00441573998577649,-2.469992971751598,,0.0,1.7798413982632966,0.0,0.0,0.0,1.0,0.00441573998577649,0.9836547046877484,0.007859316830651577,0.9694710995929274
2011-05-09,103.22621154785156,0.003874804289885514,-0.6358092657087759,,0.0,1.6988656165248448,0.0,0.0,0.0,1.0,0.003874804289885514,0.9874661741572386,0.006582771778849467,0.9758529065877378
2011-05-10,104.10736846923828,0.008536174176829503,0.5358688823616902,,0.0,1.7082028827632503,0.0,0.0,0.0,1.0,0.008536174176829503,0.9958953574135723,0.014581517336629372,0.990082322663147
2011-05-11,103.01167297363281,-0.010524668058718878,-0.34937172557549445,,0.0,1.4603437476146628,0.0,0.0,-0.0,1.0,-0.010524668058718878,0.9854138893555753,-0.015369633195269863,0.9748651205306936
2011-05-12,103.5020523071289,0.004760424904676652,1.367249678737771,,0.0,1.263193407784498,0.0,0.0,0.0,1.0,0.004760424904676652,0.9901048781758779,0.006013337357840694,0.9807273133788367
2011-05-13,102.70516204833984,-0.007699270120986479,0.6512846363123117,,0.0,1.288276731178928,0.0,0.0,-0.0,1.0,-0.007699270120986479,0.9824817932706954,-0.00991879054392805,0.9709996845767227
2011-05-16,102.0539321899414,-0.006340770467719303,0.2958390535530384,,0.0,1.264164791549197,0.0,0.0,-0.0,1.0,-0.006340770467719303,0.9762521017308526,-0.008015778776585677,0.9632163659130213
2011-05-17,102.03854370117188,-0.0001507878083608638,-0.08033883447762946,,0.0,1.2902278263818496,0.0,0.0,-0.0,1.0,-0.0001507878083608638,0.9761048948160249,-0.0001945506262263202,0.9630289715658414
2011-05-18,102.95039367675781,0.008936328788230918,0.08417964093461805,,0.0,1.3673015610073942,0.0,0.0,0.0,1.0,0.008936328788230918,0.9848276890879025,0.01221865630182345,0.9747958915781029
2011-05-19,103.19557189941406,0.0023815180680712977,2.6638550950009545,,0.0,1.2319202314715545,0.0,0.0,0.0,1.0,0.0023815180680712977,0.9871730740234023,0.0029338402896720824,0.9776557870390216
2011-05-20,102.3757095336914,-0.007944743661305376,2.6870094951734416,,0.0,1.2899725145993113,0.0,0.0,-0.0,1.0,-0.007944743661305376,0.9793302370009435,-0.010248500958621034,0.9676362807683507
2011-05-23,101.18804931640625,-0.011600996200122116,1.5404648904310392,,0.0,1.2512829510351742,0.0,0.0,-0.0,1.0,-0.011600996200122116,0.9679690306428308,-0.014516128760236642,0.9535899479236408
2011-05-24,101.10376739501953,-0.0008329236699007314,-1.4442683925567295,,0.0,1.1456414093541463,0.0,0.0,-0.0,1.0,-0.0008329236699007314,0.9671627863254775,-0.0009542318470695016,0.9526800020262867
2011-05-25,101.44087982177734,0.003334321118229955,-1.1376048557819587,,0.0,1.2073427538667894,0.0,0.0,0.0,1.0,0.003334321118229955,0.9703876176286886,0.004025668441159946,0.956515175844968
2011-05-26,101.90827941894531,0.004607605907885892,0.618557529833943,,0.0,1.2308111800278845,0.0,0.0,0.0,1.0,0.004607605907885892,0.9748587813486139,0.005671092864588487,0.961939662233573
